ZIP_Code	Classification	City	Population	Timezone	Area Code(s)
ZIP Code 33231	P.O. Box	Miami	0	Eastern	786/305
ZIP Code 33233	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33234	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33238	P.O. Box	Miami	0	Eastern	786
ZIP Code 33239	P.O. Box	Miami Beach	0	Eastern	786
ZIP Code 33242	P.O. Box	Miami	0	Eastern	786
ZIP Code 33243	P.O. Box	Miami	0	Eastern	786
ZIP Code 33245	P.O. Box	Miami	0	Eastern	786
ZIP Code 33247	P.O. Box	Miami	0	Eastern	786
ZIP Code 33255	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33256	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33257	P.O. Box	Miami	0	Eastern	786
ZIP Code 33261	P.O. Box	Miami	0	Eastern	305/786/954
ZIP Code 33265	P.O. Box	Miami	0	Eastern	786
ZIP Code 33266	P.O. Box	Miami	0	Eastern	786
ZIP Code 33269	P.O. Box	Miami	0	Eastern	786
ZIP Code 33280	P.O. Box	Miami	0	Eastern	305/954
ZIP Code 33283	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33296	P.O. Box	Miami	0	Eastern	305/786
ZIP Code 33299	P.O. Box	Miami	0	Eastern	786
